a	a,à,á,ã,ạ,ả,a
cong	cong,còng,cóng,công,cõng,cọng,cống,cồng,cổng,cộng
connect	connect
conquest	conquest
consorte	consorte
consul	consul
continental	continental
contour	contour
convertible	convertible
cooc	coóc
cool	cool
cooper	cooper
cop	cóp,cọp,cốp,cộp,cợp
copen	copen
copperhead	copperhead
cordoba	cordoba
corolla	corolla
corona	corona
coronet	coronet
corrado	corrado
corsa	corsa
corsair	corsair
corsica	corsica
cortina	cortina
corvair	corvair
corvette	corvette
cosmo	cosmo
cot	cót,cọt,cốt,cột,cớt,cợt
cougar	cougar
country	country
countryman	countryman
coupe	coupe
courier	courier
covie	covie
cowin	cowin
cowry	cowry
cr	cr
cressida	cressida
cresta	cresta
crestline	crestline
crew	crew
croma	croma
cross	cross
crosscabriolet	crosscabriolet
crossfire	crossfire
crosstour	crosstour
crosswind	crosswind
crown	crown
cruiser	cruiser
cruze	cruze
crx	crx
cs	cs
csx	csx
ct	ct
ct200h	ct200h
cts	cts
cu	cu,cù,cú,cũ,cư,cụ,củ,cứ,cừ,cử,cữ,cự
cua	cua,cưa,của,cứa,cửa,cựa
cube	cube
cuc	cúc,cục,cức,cực
cui	cui,cùi,cúi,cũi,cụi,củi,cửi
cum	cum,cùm,cúm,cụm,củm
cun	cun,cùn,cún,cũn,củn
cuneo	cuneo
cung	cung,cùng,cúng,cũng,cưng,cụng,củng,cứng
cuoc	cuốc,cuộc,cước,cược
cuoi	cuối,cuội,cưới,cười,cưỡi
cuom	cuỗm,cườm
cuon	cuốn,cuồn,cuộn
cuong	cuông,cuống,cuồng,cuộng,cương,cường,cưỡng
cuop	cướp
cuore	cuore
cup	cúp,cụp
custom	custom
cut	cút,cụt,cứt
cuu	cưu,cứu,cừu,cửu,cữu,cựu
cx	cx
cyclone	cyclone
cygnet	cygnet
d	d
d6	d6
da	da,dà,dá,dã,dạ,dả
dac	dác,dạc,dặc
dach	dách
daewoo	daewoo
dai	dai,dài,dái,dãi,dại,dải
daihatsu	daihatsu
dakar	dakar
dakota	dakota
dam	dam,dàm,dám,dâm,dăm,dạm,dấm,dầm,dẫm,dậm,dằm,dặm
dan	dan,dàn,dán,dân,dãn,dăn,dạn,dấn,dần,dẩn,dẫn,dận,dằn,dẳn,dặn
dang	dang,dàng,dáng,dâng,dăng,dạng,dắng,dằng,dẳng,dặng
danh	danh,dành,dảnh
dao	dao,dào,dáo,dạo
dap	dấp,dập
dardo	dardo
dart	dart
dat	dát,dạt,dật,dắt,dặt
dau	dàu,dâu,dấu,dầu,dẩu,dẫu,dậu
dawn	dawn
day	day,dày,dáy,dây,dãy,dạy,dảy,dấy,dầy,dẩy,dẫy,dậy
daytona	daytona
db2	db2
db3	db3
db4	db4
db5	db5
db6	db6
db7	db7
db9	db9
dbr2	dbr2
dbs	dbs
de	de,dè,dé,dê,dẻ,dẽ,dế,dề,dể,dễ,dệ
debonair	debonair
dech	dệch
defender	defender
del	del
delica	delica
delta	delta
deluxe	deluxe
dem	dém
demio	demio
den	den,dèn,dền,dện
denh	dênh,dềnh
deo	deo,dẻo
dep	dép,dẹp
derby	derby
desert	desert
det	dẹt,dết,dệt
deville	deville
di	di,dì,dí,dĩ,dị,di
dia	dìa,dĩa
diamante	diamante
dich	dịch
diec	diếc,diệc
diem	diềm,diễm,diệm
dien	diên,diễn,diện
dieng	diềng
diep	diếp,diệp
diet	diết,diệt
dieu	diêu,diếu,diều,diễu,diệu
dim	dim,dìm,dím
din	din,dĩn
dingo	dingo
dinh	dinh,dính,dĩnh
dino	dino
dion	dion
dip	díp,dịp
diplomat	diplomat
disco	disco
discovery	discovery
dit	dịt
diu	dìu,díu,dịu
dl	dl
do	do,dò,dó,dô,dơ,dọ,dỏ,dồ,dỗ,dớ,dờ,dở,dỡ,dợ
doa	doa,dóa,dọa
doai	doãi
doan	doãn
doanh	doanh,doành
doblo	doblo
doc	dóc,dọc,dốc,dộc
dodge	dodge
doi	doi,dòi,dói,dôi,dõi,dơi,dọi,dối,dồi,dổi,dỗi,dội,dời
dom	dom,dòm,dóm,dỏm,dổm,dợm
domino	domino
don	don,dơn,dọn,dồn,dớn,dờn,dợn
dong	dong,dòng,dóng,dông,dõng,dọng,dỏng,dồng,dộng,dong
dop	dọp,dộp,dớp
dot	dốt,dột
double	double
dream	dream
drifter	drifter
drifterx	drifterx
ds	ds
dts	dts
du	du,dù,dư,dụ,dứ,dừ,dử,dữ,dự
dua	dua,dùa,dúa,dũa,dưa,dứa,dừa,dựa
duc	dục,dức,dực
ducato	ducato
due	duệ
duenh	duềnh
duett	duett
dui	dùi,dúi,dũi,dụi,dủi
dum	dúm,dụm
dump	dump
dun	dun,dùn,dún
duna	duna
dung	dung,dùng,dúng,dũng,dưng,dụng,dứng,dừng,dửng,dựng
duoc	duốc,duộc,dược
duoi	duôi,duối,duỗi,dưới,dượi
duon	dướn
duong	dương,dướng,dường,dưỡng,dượng
duot	dượt
durango	durango
dut	dút,dụt,dứt
duty	duty
duy	duy
duyen	duyên
duyet	duyệt
dyna	dyna
dynasty	dynasty
dzire	dzire
e	e,è,é,ê,ẹ,ế,ề,e
e20	e20
e220	e220
e420	e420
e5	e5
e500	e500
eagle	eagle
ec	éc,ẹc
ec7	ec7
ec8	ec8
ech	ếch,ệch
echo	echo
eclipse	eclipse
ecobasic	ecobasic
econoline	econoline
econovan	econovan
ecosport	ecosport
edge	edge
eight	eight
ek	ek
el	el
elan	elan
elantra	elantra
eldorado	eldorado
element	element
elf	elf
elise	elise
elr	elr
em	em,ém,êm,ếm
emgrand	emgrand
en	en,én,ẻn
endeavor	endeavor
energi	energi
enforcer	enforcer
eng	eng
enh	ềnh,ễnh
entourage	entourage
envoy	envoy
enzo	enzo
eo	eo,èo,éo,ẹo,ẻo,ẽo
eon	eon
eos	eos
ep	ép,ẹp
epica	epica
equator	equator
equinox	equinox
equus	equus
ertiga	ertiga
es	es
escalade	escalade
escapade	escapade
escape	escape
escort	escort
escudo	escudo
espero	espero
estate	estate
esteem	esteem
esv	esv
esx	esx
et	ét,ẹt
etude	etude
etx415	etx415
eu	êu
eunos	eunos
euro	euro
eurovan	eurovan
ev	ev
ev1	ev1
evanda	evanda
everest	everest
evolution	evolution
evolv	evolv
evoque	evoque
evora	evora
ex	ex
ex7	ex7
exalta	exalta
excel	excel
excursion	excursion
executive	executive
exige	exige
exp	exp
expedition	expedition
expert	expert
explorer	explorer
express	express
expresso	expresso
extreme	extreme
f	f
f0	f0
f1	f1
f12	f12
f1300	f1300
f2	f2
f200	f200
f3	f3
f300	f300
f310	f310
f333	f333
f355	f355
f399	f399
f40	f40
f430	f430
f5	f5
f50	f50
f512	f512
f55	f55
f550	f550
fairlady	fairlady
fairlane	fairlane
falcon	falcon
familia	familia
faw	faw
fb	fb
fb02	fb02
fchv	fchv
fcx	fcx
fe	fe
fellow	fellow
feng	feng
feroza	feroza
ferrari	ferrari
festiva	festiva
ff	ff
fiat	fiat
field	field
fiesta	fiesta
filo	filo
fiorano	fiorano
fiorino	fiorino
firebird	firebird
fit	fit
five	five
fj	fj
fleetwood	fleetwood
flex	flex
flexa	flexa
florian	florian
florid	florid
flv	flv
flying	flying
focus	focus
foison	foison
ford	ford
forenza	forenza
forester	forester
formula	formula
forte	forte
fortuner	fortuner
foton	foton
fourtrak	fourtrak
fox	fox
fr	fr
freeclimber	freeclimber
freelander	freelander
freema	freema
freemont	freemont
freestar	freestar
freestyle	freestyle
friendee	friendee
frogster	frogster
fronte	fronte
frontera	frontera
frontier	frontier
fstar	fstar
fto	fto
fuego	fuego
fulwin2	fulwin2
funcargo	funcargo
fusca	fusca
fusion	fusion
fuya	fuya
fuzion	fuzion
fw	fw
fxs	fxs
g	g
g35	g35
g3x	g3x
g4	g4
ga	ga,gà,gá,gã,gạ,gả
gac	gác,gạc,gấc,gặc
gach	gạch
gai	gai,gài,gái,gãi,gại
galant	galant
galaxie	galaxie
galaxy	galaxy
galloper	galloper
gam	gam,găm,gấm,gầm,gẩm,gẫm,gậm,gắm,gằm,gặm
gan	gan,gàn,gán,gân,gạn,gần,gắn,gằn,gặn
gang	gang,gàng,găng,gắng,gẵng,gặng
ganh	ganh,gành,gánh,gạnh,gảnh
gao	gao,gào,gáo,gạo
gap	gáp,gấp,gập,gắp,gặp
gat	gạt,gật,gắt,gặt
gato	gato
gau	gau,gàu,gáu,gâu,gấu,gầu,gẫu
gaus	gaus
gay	gay,gày,gáy,gây,gãy,gạy,gảy,gấy,gầy,gẩy,gẫy,gậy
gear	gear
geely	geely
gemini	gemini
gen	gen
genesis	genesis
getz	getz
ghe	ghe,ghè,ghé,ghê,ghẹ,ghẻ,ghẽ,ghế,ghề
ghech	ghếch,ghệch
ghem	ghém
ghen	ghen,ghèn
ghenh	ghềnh,ghểnh
gheo	ghẹo
ghep	ghép
ghet	ghét,ghệt
ghi	ghi,ghì
ghia	ghia
ghibli	ghibli
ghiec	ghiếc
ghien	ghiền
ghim	ghim,ghìm
ghinh	ghính
ghit	ghịt
ghost	ghost
gi	gi,gì,gí,gỉ
gia	gia,già,giá,giã,giạ,giả
giac	giác,giấc,giặc
giai	giai,giãi,giại,giải
giam	giam,giám,giâm,giăm,giạm,giảm,giấm,giầm,giẫm,giậm,giằm,giẵm,giặm
gian	gian,giàn,gián,giãn,giản,giấn,giần,giận,giằn,giặn
giang	giang,giàng,giáng,giăng,giạng,giảng,giằng
gianh	gianh,giành,giảnh
giao	giao,giáo,giảo
giap	giáp,giạp,giấp,giập
giat	giát,giạt,giật,giắt,giặt
giau	giàu,giâu,giảu,giấu,giầu,giậu
giay	giày,giây,giãy,giấy,giầy,giẫy
gich	gích
gie	gie,gié,giê,giẻ
giec	giếc
giem	gièm,giếm
gien	gien,giền
gieng	giêng,giếng,giềng
gieo	gieo,giéo,giẹo
giep	giẹp
giet	giết
gieu	giễu
gin	gin,gìn
gio	gio,giò,gió,giô,giơ,giọ,giỏ,giồ,giỗ,giờ,giở
gioc	gióc
gioi	gioi,giòi,giói,giọi,giỏi,giối,giồi,giổi,giỗi,giội,giới,giời
gion	gion,giòn,giôn,giỏn,giờn,giỡn
giong	giong,gióng,giông,giọng,giỏng,giống,giồng
giop	giộp
giot	giọt,giốt
gip	gíp
giu	giú,giũ,giữ
giua	giũa,giụa,giữa
giuc	giục
giui	giùi,giúi,giụi,giủi
giulia	giulia
giulietta	giulietta
gium	giùm
giun	giun
giuoc	giuộc
giuong	giương,giướng,giường
giup	giúp
giut	giựt
gl	gl
gli	gli
glk	glk
gloria	gloria
gmc	gmc
go	go,gò,gô,gõ,gơ,gọ,gồ,gổ,gỗ,gộ,gờ,gở,gỡ
goa	góa
goc	góc,gốc,gộc
goi	gọi,gỏi,gối,gồi,gội,gởi,gợi
gol	gol
golf	golf
gom	gom,gôm,gốm,gồm,gớm,gờm
gon	gon,gòn,gôn,gọn,gờn,gợn
gong	gông,gọng,gỏng,gồng
goong	goòng
gop	góp,gộp
got	gót,gọt,gột,gợt
gp	gp
gr	gr
graduate	graduate
gran	gran
granada	granada
grancabrio	grancabrio
grand	grand
grande	grande
grandeur	grandeur
grandis	grandis
granturismo	granturismo
granvia	granvia
gratour	gratour
great	great
gs	gs
gs460	gs460
gsx	gsx
gt	gt
gt1	gt1
gt2	gt2
gt3	gt3
gt4	gt4
gt500	gt500
gta	gta
gtb	gtb
gtc	gtc
gtd	gtd
gte	gte
gti	gti
gto	gto
gtr	gtr
gts	gts
gtv	gtv
gu	gu,gù,gụ,gừ
gua	gùa
guard	guard
guc	gục
gui	gùi,gũi,gụi,gửi
gun	gùn
gung	gùng,gừng
guoc	guốc,guộc
guom	gươm,gườm,gượm
guon	guộn
guong	guồng,gương,gưỡng,gượng
guot	guột
gut	gút
gx	gx
h	h
h1	h1
h2	h2
h3	h3
h30	h30
h5	h5
ha	ha,hà,há,hạ,hả
hac	hác,hạc,hắc,hặc
hach	hách,hạch
hai	hai,hài,hái,hãi,hại,hải
haima	haima
haise	haise
ham	ham,hàm,hám,hâm,hãm,hăm,hạm,hấm,hầm,hẩm,hậm,hằm,hẳm,hặm
han	han,hàn,hán,hân,hãn,hạn,hấn,hận,hắn,hằn,hẳn
hang	hang,hàng,háng,hãng,hăng,hạng,hảng,hẩng,hẫng,hắng,hằng,hẵng
hanh	hanh,hành,hánh,hãnh,hạnh,hảnh
hao	hao,hào,háo,hão,hạo,hảo
hap	háp,hạp,hấp,hập
hardbody	hardbody
hat	hát,hạt,hất,hắt
hatric	hatric
hau	hau,hàu,háu,hâu,hấu,hầu,hẩu,hẫu,hậu
haval	haval
hay	hay,háy,hây,hãy,hấy,hầy,hẩy
hcd	hcd
hd	hd
he	he,hè,hé,hê,hẹ,hề,hể,hễ,hệ
head	head
hec	héc
hech	hếch,hệch
hed	hed
hele	hele
hem	hem,hèm,hẻm,hẽm
hemi	hemi
hen	hen,hèn,hén,hên,hẹn,hẻn,hến,hển
henh	hênh,hềnh,hểnh
heo	heo,hèo,héo,hẻo
hep	hẹp
het	hét,hết,hệt
heu	hếu
hhr	hhr
hi	hi,hì,hí,hĩ,hỉ,hi
hia	hia
hiace	hiace
hich	hích,hịch
hiem	hiếm,hiềm,hiểm
hien	hiên,hiến,hiền,hiển,hiện
hieng	hiêng,hiếng
hiep	hiếp,hiệp
hiet	hiệt
hieu	hiếu,hiểu,hiệu
highlander	highlander
hilux	hilux
him	him,hĩm
hin	hin
hinh	hình,hĩnh,hỉnh
hip	híp
hit	hít
hiu	hiu
hivan	hivan
ho	ho,hò,hó,hô,hơ,họ,hỏ,hố,hồ,hổ,hỗ,hộ,hớ,hờ,hở,hỡ
hoa	hoa,hòa,hóa,họa,hỏa
hoac	hoác,hoắc,hoặc
hoach	hoạch
hoai	hoai,hoài,hoại,hoải
hoam	hoắm
hoan	hoan,hoàn,hoán,hoãn,hoạn,hoằn,hoẳn
hoang	hoang,hoãng,hoăng,hoảng,hoẵng
hoanh	hoành,hoánh,hoạnh,hoảnh
hoat	hoạt,hoắt
hoay	hoay,hoáy
hoc	hóc,học,hốc,hộc
hoe	hoe,hòe,họe
hoen	hoen,hoẻn
hoet	hoét
hoi	hoi,hòi,hói,hôi,hơi,hỏi,hối,hồi,hổi,hội,hời,hởi,hỡi,hợi
hom	hom,hòm,hóm,hôm,hõm,hỏm,hổm,hớm,hờm,hợm
hombre	hombre
hon	hon,hòn,hôn,hơn,hỏn,hồn,hổn,hỗn,hộn,hớn,hờn,hởn
honda	honda
hong	hong,hòng,hóng,hông,họng,hỏng,hống,hồng,hổng,hỗng
hop	hóp,họp,hộp,hớp,hợp
hot	hót,hốt,hột,hớt,hợt
howler	howler
hp	hp
hr	hr
hs	hs
hsr	hsr
hu	hu,hù,hú,hũ,hư,hụ,hủ,hứ,hừ,hử,hữ,hự
hua	hua,hùa,hứa
huan	huân,huấn
huc	húc,hục,hức,hực
hue	huê,huế,huề,huệ
huech	huếch
huenh	huênh
hui	hui,hùi,húi,hụi,hủi
hum	hum,hùm,hũm,hụm,hừm
hummer	hummer
hun	hun,hùn,hủn
hunaudieres	hunaudieres
hundred	hundred
hung	hung,hùng,húng,hưng,hứng,hừng,hửng,hững
hunter	hunter
huo	huơ
huoc	hước
huom	hươm,hườm,hượm
huon	hươn
huong	huống,hương,hướng,hường,hưởng
huot	huốt
huou	hươu
hup	húp,hụp
